date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:23:06	420870/420870	---MCZ	200	added ('OK')	text/html	etag:W/%22765fc778bdf3d4d6f0f230b1cfee4b8d%22	https://maffotchiochristia.wixsite.com/stg-sarl	C:/Users/belmond/Desktop/stgsarlnew/maffotchiochristia.wixsite.com/stg-sarl.html	(from )
04:23:09	322/322	---M--	200	added ('OK')	text/plain	date:Thu,%2004%20May%202023%2011:22:46%20GMT	https://maffotchiochristia.wixsite.com/robots.txt		(from )
04:23:10	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/belmond/Desktop/stgsarlnew/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:12	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/belmond/Desktop/stgsarlnew/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:13	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2030%20Apr%202023%2021:51:56%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/belmond/Desktop/stgsarlnew/polyfill.io/v3/polyfill.mind82c.js	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:15	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/belmond/Desktop/stgsarlnew/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:17	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2011:22:55%20GMT	https://maffotchiochristia.wixsite.com/decodeURIComponent(e	C:/Users/belmond/Desktop/stgsarlnew/maffotchiochristia.wixsite.com/decodeURIComponent(e	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:19	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2011:22:58%20GMT	https://maffotchiochristia.wixsite.com/sitemap.xml	C:/Users/belmond/Desktop/stgsarlnew/maffotchiochristia.wixsite.com/sitemap.xml	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:21	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2011:23:00%20GMT	https://maffotchiochristia.wixsite.com/feed.xml	C:/Users/belmond/Desktop/stgsarlnew/maffotchiochristia.wixsite.com/feed.xml	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:23	79194/79194	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ce2e9122fde84a7fb8b4ce3f524522f3%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.6797ba1d.bundle.min.js	C:/Users/belmond/Desktop/stgsarlnew/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.6797ba1d.bundle.min.js	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:25	152495/152495	---M-Z	200	added ('OK')	application/javascript	etag:W/%220fdbb7da4527dec8244d31e3576e461a%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.7967a866.bundle.min.js	C:/Users/belmond/Desktop/stgsarlnew/static.parastorage.com/services/wix-thunderbolt/dist/main.7967a866.bundle.min.js	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:26	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2011:23:02%20GMT	https://maffotchiochristia.wixsite.com/	C:/Users/belmond/Desktop/stgsarlnew/maffotchiochristia.wixsite.com/index.html	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:28	169/169	---M--	200	added ('OK')	application/javascript	etag:%22051ac94366eef00d1cdc4b99c34c97de%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.83873c29.bundle.min.js	C:/Users/belmond/Desktop/stgsarlnew/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.83873c29.bundle.min.js	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:31	169/169	---M--	200	added ('OK')	application/javascript	etag:%225e5bd8689874e6ddad92742ae6e321e1%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.scoped.renderer.e57580be.bundle.min.js	C:/Users/belmond/Desktop/stgsarlnew/static.parastorage.com/services/wix-thunderbolt/dist/main.scoped.renderer.e57580be.bundle.min.js	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:34	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Users/belmond/Desktop/stgsarlnew/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:35	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/Users/belmond/Desktop/stgsarlnew/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:36	7897/7897	---M-Z	200	added ('OK')	application/javascript	etag:W/%2282ef8cd522818464cafdf4bf58ab1ffa%22	https://static.parastorage.com/services/tag-manager-client/1.705.0/siteTags.bundle.min.js	C:/Users/belmond/Desktop/stgsarlnew/static.parastorage.com/services/tag-manager-client/1.705.0/siteTags.bundle.min.js	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:37	27728/27728	---M-Z	200	added ('OK')	application/javascript	etag:W/%229562c76ed2a51f076cdd128b590e7b83%22	https://static.parastorage.com/services/wix-perf-measure/1.1058.0/wix-perf-measure.umd.min.js	C:/Users/belmond/Desktop/stgsarlnew/static.parastorage.com/services/wix-perf-measure/1.1058.0/wix-perf-measure.umd.min.js	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:39	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c5abc87541fe6bb0f43f22af475a8b20%22	https://static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	C:/Users/belmond/Desktop/stgsarlnew/static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:43	398164/398164	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2011:23:20%20GMT	https://maffotchiochristia.wixsite.com/stg-sarl/%c3%a0-propos	C:/Users/belmond/Desktop/stgsarlnew/maffotchiochristia.wixsite.com/stg-sarl/%c3%a0-propos.html	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:45	456921/456921	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2011:23:21%20GMT	https://maffotchiochristia.wixsite.com/stg-sarl/services	C:/Users/belmond/Desktop/stgsarlnew/maffotchiochristia.wixsite.com/stg-sarl/services.html	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:48	399399/399399	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2011:23:24%20GMT	https://maffotchiochristia.wixsite.com/stg-sarl/contacts	C:/Users/belmond/Desktop/stgsarlnew/maffotchiochristia.wixsite.com/stg-sarl/contacts.html	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:49	2724/2724	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:23:29%20GMT	https://static.wixstatic.com/media/030e92_1abb6cbb01f94d6f83ffd3f2341bb41e~mv2.jpg/v1/fill/w_64,h_64,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/299426464_388335773253844_4400274689878380014_n.jpg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/030e92_1abb6cbb01f94d6f83ffd3f2341bb41e_mv2.jpg/v1/fill/w_64,h_64,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/299426464_388335773253844_4400274689878380014_n.jpg	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:51	5454/5454	---M--	200	added ('OK')	image/png	date:Thu,%2004%20May%202023%2011:23:30%20GMT	https://static.wixstatic.com/media/035244_e6828d11d0ef465a8c1b263e4c31d602~mv2.png/v1/fill/w_40,h_40,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/035244_e6828d11d0ef465a8c1b263e4c31d602~mv2.png	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/035244_e6828d11d0ef465a8c1b263e4c31d602_mv2.png/v1/fill/w_40,h_40,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/035244_e6828d11d0ef465a8c1b263e4c31d602_mv2.png	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:58	5349/5349	---M--	200	added ('OK')	image/png	date:Thu,%2004%20May%202023%2011:23:38%20GMT	https://static.wixstatic.com/media/035244_6d553d072d074906921789d726bc57ca~mv2.png/v1/fill/w_40,h_40,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/035244_6d553d072d074906921789d726bc57ca~mv2.png	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/035244_6d553d072d074906921789d726bc57ca_mv2.png/v1/fill/w_40,h_40,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/035244_6d553d072d074906921789d726bc57ca_mv2.png	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:23:59	3719/3719	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:23:39%20GMT	https://static.wixstatic.com/media/82c08d3efb804aa5a2af21ab98acde29.jpg/v1/fill/w_144,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/82c08d3efb804aa5a2af21ab98acde29.jpg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/82c08d3efb804aa5a2af21ab98acde29.jpg/v1/fill/w_144,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/82c08d3efb804aa5a2af21ab98acde29.jpg	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:24:02	2636/2636	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:23:42%20GMT	https://static.wixstatic.com/media/11062b_aa1552cb7ee1405e984ce6480d2375d6~mv2.jpg/v1/fill/w_110,h_73,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_aa1552cb7ee1405e984ce6480d2375d6~mv2.jpg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/11062b_aa1552cb7ee1405e984ce6480d2375d6_mv2.jpg/v1/fill/w_110,h_73,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_aa1552cb7ee1405e984ce6480d2375d6_mv2.jpg	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:24:03	2245/2245	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2011:23:43%20GMT	https://static.wixstatic.com/media/030e92_36fbe31ddbfb44c0abd2b1dcefbf578d~mv2.jpg/v1/fill/w_87,h_87,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/299426464_388335773253844_4400274689878380014_n.jpg	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/030e92_36fbe31ddbfb44c0abd2b1dcefbf578d_mv2.jpg/v1/fill/w_87,h_87,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/299426464_388335773253844_4400274689878380014_n.jpg	(from https://maffotchiochristia.wixsite.com/stg-sarl)
04:24:07	934/934	---M--	200	added ('OK')	image/png	date:Thu,%2004%20May%202023%2011:23:46%20GMT	https://static.wixstatic.com/media/84770f_694c9802edfc4bbaa9dd024a14bb5c39.png/v1/fill/w_23,h_15,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/84770f_694c9802edfc4bbaa9dd024a14bb5c39.png	C:/Users/belmond/Desktop/stgsarlnew/static.wixstatic.com/media/84770f_694c9802edfc4bbaa9dd024a14bb5c39.png/v1/fill/w_23,h_15,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/84770f_694c9802edfc4bbaa9dd024a14bb5c39.png	(from https://maffotchiochristia.wixsite.com/stg-sarl)
